meter_id,location,violation_description,fine_amount,counts,revenue,latitude,longitude,meter_type,policy_complexity,rate_type,park_limit
V77,101 VENICE WAY S,METER EXPIRED,63.0,465,29295.0,33.987418,-118.471119,Single-Space,11,FLAT,1.0
V75,100 VENICE WAY,METER EXPIRED,63.0,450,28350.0,33.987243,-118.471043,Single-Space,11,FLAT,1.0
NH940,4301 TUJUNGA AV,METER EXPIRED,63.0,447,28161.0,34.148959999999995,-118.379082,Single-Space,13,FLAT,1.0
NH935,4301 TUJUNGA AV,METER EXPIRED,63.0,446,28098.0,34.14956,-118.379083,Single-Space,13,FLAT,1.0
V73,100 VENICE WAY,METER EXPIRED,63.0,430,27090.0,33.987264,-118.471196,Single-Space,11,FLAT,1.0
NH934,4301 TUJUNGA AV,METER EXPIRED,63.0,427,26901.0,34.149693,-118.379082,Single-Space,13,FLAT,1.0
V74,100 VENICE WAY,METER EXPIRED,63.0,420,26460.0,33.987256,-118.471134,Single-Space,11,FLAT,1.0
V74,100 VENICE WAY,OUTSIDE LINES/METER,58.0,25,1450.0,33.987256,-118.471134,Single-Space,11,FLAT,1.0
NH936,4301 TUJUNGA AV,METER EXPIRED,63.0,415,26145.0,34.149426,-118.379082,Single-Space,13,FLAT,1.0
CB156,1300 HOPE ST S,METER EXPIRED,63.0,415,26145.0,34.037869,-118.266592,Single-Space,13,TOD,4.0
CB156,1338 HOPE ST S,METER EXPIRED,63.0,25,1575.0,34.037869,-118.266592,Single-Space,13,TOD,4.0
VN685A,14301 DELANO ST,METER EXPIRED,63.0,405,25515.0,34.182743,-118.445928,Single-Space,13,FLAT,2.0
VN685A,14345 DELANO ST,METER EXPIRED,63.0,99,6237.0,34.182743,-118.445928,Single-Space,13,FLAT,2.0
VN685A,14335 DELANO ST,METER EXPIRED,63.0,42,2646.0,34.182743,-118.445928,Single-Space,13,FLAT,2.0
VN685A,14341 DELANO ST,METER EXPIRED,63.0,39,2457.0,34.182743,-118.445928,Single-Space,13,FLAT,2.0
V78,101 VENICE WAY S,METER EXPIRED,63.0,398,25074.0,33.987427000000004,-118.471185,Single-Space,11,FLAT,1.0
V78,100 VENICE WAY S,METER EXPIRED,63.0,11,693.0,33.987427000000004,-118.471185,Single-Space,11,FLAT,1.0
NH933A,4301 TUJUNGA AV,METER EXPIRED,63.0,393,24759.0,34.14983,-118.379084,Single-Space,13,FLAT,1.0
