revenue,meter_expired,outside_lines,off_str,fine_$63,fine_$58,single_type,flat,tod,jump
29295.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
28350.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
28161.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
28098.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
27090.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
26901.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
26460.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1450.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
26145.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
26145.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1575.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
25515.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6237.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2646.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2457.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
25074.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
693.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
24759.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23877.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23877.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1972.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1638.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1449.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23688.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23562.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23499.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23499.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1071.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
23310.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1260.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
870.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
756.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22869.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2205.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
22869.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
882.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
22617.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
14679.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1392.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1008.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1008.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
819.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
22554.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
22239.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21798.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21546.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3528.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21294.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21231.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1701.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1638.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21231.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1450.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
21042.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20727.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20664.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20601.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
4788.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1953.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20538.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1638.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1575.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
693.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20475.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20475.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2320.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2320.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
20475.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
4284.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1740.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
882.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
819.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20223.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6867.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1827.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20223.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3843.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20097.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20034.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1071.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19971.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
19908.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3465.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
19845.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
19719.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
